sleep_hours,screen_time,exercise_minutes,daily_pending_tasks,interruptions,fatigue_level,social_hours,coffee_cups,diet_quality,weather,mood_score,stress_level
7.46,7.80,3.74,1.00,10.00,5.42,1.42,1.00,poor,cloudy,3.72,1.00
8.22,6.30,9.71,4.00,6.00,6.12,2.08,2.00,good,snowy,6.63,2.58
7.94,1.99,8.52,3.00,8.00,1.59,2.12,0.00,poor,rainy,8.92,1.22
5.76,7.10,11.31,2.00,3.00,3.42,2.21,1.00,good,rainy,6.73,1.00
6.16,3.00,30.45,2.00,6.00,1.50,0.00,0.00,poor,cloudy,10.00,1.00
8.12,4.23,13.24,3.00,9.00,3.60,2.36,1.00,average,cloudy,10.00,2.67
7.92,5.50,31.60,2.00,3.00,4.13,1.45,1.00,average,cloudy,10.00,1.00
6.97,8.99,17.18,4.00,7.00,6.01,2.85,2.00,average,rainy,6.63,4.18
7.18,11.22,8.37,2.00,4.00,0.42,2.20,1.00,average,rainy,5.13,1.00
8.92,6.21,33.21,3.00,3.00,6.31,2.63,0.00,good,snowy,10.00,1.00
6.11,4.63,5.44,5.00,9.00,3.98,1.27,0.00,average,rainy,5.92,4.80
7.82,6.07,5.08,5.00,4.00,4.32,0.87,0.00,average,cloudy,5.55,2.88
6.70,6.78,14.04,2.00,4.00,6.94,2.89,0.00,poor,sunny,6.03,1.00
6.67,4.36,6.05,1.00,3.00,7.69,2.56,1.00,good,sunny,5.97,1.00
8.65,8.59,0.18,1.00,2.00,3.69,2.22,0.00,average,sunny,4.08,1.00
8.24,5.46,20.90,4.00,3.00,3.68,2.22,2.00,good,sunny,9.43,1.79
8.22,6.00,14.31,1.00,6.00,4.29,2.42,0.00,average,sunny,7.78,1.00
8.96,6.33,11.79,4.00,12.00,3.67,0.71,0.00,poor,rainy,7.87,3.44
7.03,5.84,68.21,1.00,7.00,2.13,3.08,2.00,average,cloudy,10.00,1.00
8.02,6.68,16.94,5.00,4.00,4.94,1.85,2.00,good,cloudy,7.80,2.96
6.53,3.77,39.82,1.00,7.00,3.68,1.87,1.00,average,snowy,10.00,1.00
7.49,3.88,3.00,1.00,5.00,5.20,1.58,3.00,good,cloudy,6.29,1.00
6.80,2.80,16.84,2.00,8.00,8.42,0.00,3.00,poor,snowy,7.81,2.65
7.15,5.88,40.50,4.00,4.00,4.79,2.58,3.00,average,cloudy,10.00,2.38
7.89,6.56,17.50,0.00,7.00,3.49,1.00,3.00,good,snowy,8.47,1.00
5.77,5.92,25.32,4.00,5.00,4.46,2.11,0.00,poor,snowy,9.69,3.19
10.14,8.35,9.31,0.00,2.00,5.26,1.18,1.00,poor,cloudy,5.89,1.00
5.49,4.99,1.94,1.00,4.00,4.67,1.66,1.00,good,sunny,4.48,1.00
5.18,6.34,12.25,3.00,6.00,3.87,1.60,2.00,average,cloudy,5.86,2.83
8.74,2.82,10.03,1.00,6.00,1.69,1.16,1.00,average,cloudy,8.88,1.00
8.19,4.23,40.36,4.00,4.00,6.27,1.77,3.00,average,sunny,10.00,2.73
7.94,6.39,5.59,3.00,3.00,3.21,1.52,2.00,good,cloudy,6.37,1.00
7.94,6.70,68.06,2.00,4.00,7.92,0.96,4.00,good,snowy,10.00,1.00
6.98,4.41,63.47,4.00,5.00,4.26,3.17,1.00,average,sunny,10.00,2.43
5.65,4.86,5.69,7.00,7.00,3.97,1.20,0.00,average,sunny,5.03,6.37
7.11,1.96,8.56,4.00,10.00,4.06,2.56,1.00,average,rainy,8.61,3.43
5.98,4.29,45.18,4.00,7.00,5.30,2.67,0.00,good,snowy,10.00,3.79
8.46,6.78,68.00,3.00,5.00,3.27,2.92,2.00,average,snowy,10.00,1.19
6.78,6.15,11.72,3.00,3.00,3.65,1.45,1.00,good,cloudy,6.22,1.34
5.76,6.00,7.74,2.00,4.00,6.24,1.80,1.00,average,cloudy,5.15,1.00
6.52,5.10,14.93,2.00,4.00,2.96,1.83,2.00,poor,snowy,7.48,1.00
7.62,5.01,23.28,3.00,8.00,6.10,2.53,1.00,average,snowy,9.91,2.31
6.15,3.68,6.39,3.00,8.00,6.65,1.76,0.00,poor,snowy,5.91,3.06
5.77,6.40,26.67,2.00,4.00,6.34,2.46,2.00,good,cloudy,8.63,1.33
7.37,5.84,1.06,3.00,4.00,5.47,1.74,0.00,good,snowy,4.01,1.00
7.37,5.98,1.01,3.00,8.00,1.39,3.12,0.00,poor,snowy,6.17,1.73
6.24,3.95,9.76,3.00,4.00,2.58,1.99,1.00,average,sunny,7.43,2.00
6.29,0.69,8.72,4.00,6.00,2.29,1.87,0.00,good,snowy,8.80,2.37
7.35,7.19,7.59,3.00,6.00,4.24,2.34,1.00,average,rainy,5.35,1.57
4.83,4.04,13.51,8.00,1.00,5.06,3.64,1.00,average,cloudy,6.54,7.04
4.89,3.27,7.73,3.00,5.00,2.62,1.39,1.00,average,sunny,6.57,2.02
5.92,6.39,4.27,2.00,3.00,4.65,3.04,2.00,good,snowy,4.69,1.00
6.68,4.22,7.41,4.00,9.00,6.37,1.18,1.00,average,snowy,6.45,4.48
7.47,7.12,73.70,0.00,4.00,3.00,2.04,0.00,good,sunny,10.00,1.00
9.21,6.23,10.59,4.00,8.00,3.36,1.21,2.00,good,sunny,7.24,2.77
8.29,6.37,11.77,2.00,8.00,7.36,1.63,2.00,good,sunny,5.89,1.08
6.76,2.27,17.19,1.00,2.00,3.15,1.32,1.00,good,rainy,9.82,1.00
6.97,7.42,81.90,2.00,6.00,5.68,2.70,1.00,good,rainy,10.00,1.00
5.50,5.52,5.53,1.00,9.00,7.48,1.50,1.00,poor,sunny,5.31,2.43
6.97,4.26,22.87,1.00,4.00,2.64,2.53,1.00,average,snowy,10.00,1.00
6.57,5.29,25.17,4.00,4.00,2.79,1.47,0.00,poor,cloudy,10.00,2.47
7.48,1.45,18.70,3.00,6.00,4.54,1.99,2.00,poor,rainy,10.00,1.23
5.76,5.82,1.85,2.00,13.00,5.14,3.46,0.00,poor,cloudy,4.65,4.34
7.78,2.94,22.59,3.00,6.00,3.72,1.25,1.00,average,cloudy,10.00,1.35
9.30,2.29,1.32,3.00,8.00,8.94,1.27,2.00,poor,rainy,5.87,2.99
6.84,1.96,18.13,3.00,8.00,6.08,1.75,2.00,average,cloudy,9.61,2.49
7.60,7.23,26.91,5.00,1.00,3.39,1.98,0.00,good,snowy,10.00,1.52
8.04,3.74,4.74,4.00,8.00,2.27,2.62,1.00,good,rainy,6.51,3.33
6.40,8.07,36.86,1.00,4.00,4.87,2.04,1.00,good,rainy,10.00,1.00
7.34,3.93,0.62,2.00,4.00,5.88,2.25,3.00,average,cloudy,6.46,1.00
7.02,1.59,37.13,3.00,2.00,8.68,0.85,1.00,average,cloudy,10.00,1.37
7.15,2.77,12.34,3.00,6.00,5.15,2.30,1.00,average,sunny,9.23,1.34
5.84,7.47,4.91,5.00,6.00,4.51,2.33,1.00,average,rainy,4.07,4.70
7.04,4.69,2.87,2.00,3.00,3.05,2.67,0.00,average,cloudy,5.90,1.00
7.75,3.90,61.28,3.00,5.00,5.74,1.67,2.00,poor,snowy,10.00,1.00
9.18,5.32,1.51,4.00,8.00,7.03,1.99,0.00,average,rainy,5.87,2.93
8.44,6.00,4.44,2.00,9.00,1.43,2.71,0.00,good,sunny,6.67,1.00
10.23,7.23,8.55,2.00,3.00,5.15,0.94,0.00,good,snowy,6.09,1.00
5.85,7.90,19.36,1.00,2.00,2.96,0.21,1.00,average,sunny,7.74,1.00
8.31,4.28,15.74,3.00,7.00,2.28,0.89,1.00,average,sunny,10.00,1.06
7.28,2.35,2.69,4.00,6.00,8.39,1.36,2.00,average,snowy,5.24,2.80
10.28,4.17,6.84,6.00,6.00,6.77,3.07,2.00,poor,sunny,8.46,3.82
5.79,5.52,5.46,2.00,6.00,3.79,4.03,1.00,good,sunny,5.51,1.00
5.74,3.07,4.80,5.00,4.00,4.68,1.09,0.00,good,sunny,6.07,4.31
6.10,3.09,10.59,4.00,6.00,4.37,1.92,1.00,poor,sunny,7.82,3.91
3.81,5.69,24.35,7.00,10.00,2.75,1.47,0.00,poor,sunny,8.01,9.10
6.21,4.90,4.90,4.00,4.00,3.92,2.48,1.00,average,rainy,5.90,2.73
5.86,5.07,9.14,3.00,3.00,6.57,2.28,0.00,average,cloudy,5.19,1.34
7.23,3.48,9.92,2.00,0.00,3.87,1.12,0.00,good,rainy,8.08,1.00
7.51,4.54,74.98,5.00,8.00,5.93,1.38,3.00,good,rainy,10.00,4.56
9.81,3.15,61.87,6.00,3.00,3.88,1.86,0.00,average,cloudy,10.00,2.41
8.43,6.78,32.20,2.00,4.00,2.63,3.23,0.00,poor,cloudy,10.00,1.00
6.13,7.07,5.53,2.00,5.00,7.39,1.35,1.00,good,snowy,4.10,1.92
5.65,1.31,1.41,2.00,3.00,0.74,0.45,1.00,average,sunny,7.47,1.00
7.74,3.14,7.62,1.00,2.00,8.57,3.30,2.00,average,cloudy,7.22,1.00
5.02,2.01,6.21,4.00,8.00,7.00,2.50,0.00,average,snowy,6.82,4.31
9.75,3.70,14.10,5.00,4.00,5.37,0.84,0.00,poor,snowy,9.01,2.55
8.77,4.83,30.08,5.00,3.00,4.11,2.31,0.00,average,rainy,10.00,1.05
6.30,2.10,39.08,5.00,8.00,4.26,2.81,1.00,average,snowy,10.00,5.15
4.43,3.16,37.27,3.00,5.00,5.40,2.09,1.00,average,sunny,10.00,2.74
9.03,2.99,8.92,5.00,6.00,5.37,3.36,0.00,poor,rainy,7.89,2.29
6.83,5.41,23.25,3.00,7.00,3.08,2.56,0.00,average,cloudy,9.60,2.10
8.86,5.14,7.50,0.00,10.00,5.14,2.31,0.00,good,rainy,7.50,1.00
4.61,3.56,1.26,2.00,7.00,5.52,2.20,2.00,average,rainy,4.04,2.83
6.10,5.35,24.18,2.00,3.00,4.40,2.14,1.00,good,sunny,9.93,1.00
7.01,3.91,0.20,3.00,3.00,9.48,2.88,1.00,poor,sunny,4.61,1.00
7.07,4.46,10.52,3.00,7.00,4.73,1.85,2.00,average,rainy,8.09,2.29
6.32,8.35,7.99,4.00,3.00,1.47,2.95,2.00,good,cloudy,4.97,1.55
7.93,7.68,23.64,4.00,3.00,2.98,2.31,0.00,average,sunny,8.26,1.00
5.40,2.40,29.07,3.00,3.00,6.41,2.11,0.00,average,rainy,10.00,1.73
6.79,6.66,7.25,2.00,8.00,3.56,1.69,1.00,poor,sunny,6.06,1.00
7.18,6.62,33.39,2.00,2.00,3.01,1.70,3.00,poor,sunny,10.00,1.00
7.77,2.70,6.96,4.00,5.00,7.79,2.32,1.00,good,snowy,6.57,1.92
8.07,6.64,11.82,3.00,4.00,5.34,3.01,2.00,poor,cloudy,6.17,1.00
5.31,8.08,25.97,0.00,2.00,3.80,2.50,2.00,poor,rainy,8.08,1.00
4.70,2.75,23.61,4.00,3.00,0.00,1.29,1.00,average,rainy,10.00,3.40
8.92,3.16,87.43,3.00,2.00,6.24,0.40,1.00,average,snowy,10.00,1.00
7.50,7.04,5.10,2.00,6.00,5.03,2.74,2.00,good,rainy,6.03,1.00
5.88,5.54,21.71,1.00,3.00,7.60,4.68,3.00,average,rainy,8.14,1.00
9.33,6.10,18.82,3.00,6.00,2.81,1.72,2.00,average,snowy,8.60,1.00
7.17,5.68,49.33,3.00,5.00,4.25,1.54,0.00,poor,snowy,10.00,1.42
8.77,5.78,3.40,2.00,4.00,5.60,2.82,0.00,average,rainy,6.02,1.00
7.10,2.35,27.87,1.00,6.00,7.51,1.14,1.00,poor,snowy,10.00,1.00
10.09,7.09,16.80,3.00,6.00,5.52,3.50,1.00,average,sunny,8.95,1.00
9.63,7.34,6.42,5.00,6.00,3.59,2.41,0.00,average,sunny,7.10,2.02
6.63,4.54,12.87,4.00,7.00,7.60,1.97,0.00,good,sunny,7.04,2.19
8.46,4.91,8.12,3.00,10.00,4.38,1.23,2.00,good,sunny,7.82,1.84
7.97,1.94,17.32,4.00,12.00,5.36,2.88,0.00,average,snowy,10.00,4.12
9.05,6.03,43.96,6.00,5.00,6.50,1.56,1.00,poor,cloudy,10.00,3.70
5.55,6.14,16.85,4.00,7.00,8.13,2.71,1.00,average,cloudy,6.51,4.44
8.03,4.88,19.98,2.00,10.00,5.74,2.40,1.00,average,rainy,9.61,1.89
8.59,7.25,14.63,2.00,2.00,10.00,3.29,2.00,good,cloudy,6.18,1.00
4.36,4.33,1.05,2.00,4.00,4.82,2.16,0.00,good,sunny,4.90,1.00
5.23,6.13,5.30,2.00,6.00,5.59,5.12,2.00,average,snowy,5.03,2.44
3.94,2.96,13.55,2.00,4.00,3.76,2.55,2.00,average,sunny,7.84,2.67
6.60,4.95,7.43,2.00,5.00,5.65,2.15,0.00,average,sunny,6.89,1.00
8.08,4.65,4.01,2.00,3.00,5.59,1.61,1.00,average,snowy,6.36,1.00
9.25,5.45,14.03,1.00,3.00,7.09,2.88,1.00,average,sunny,8.14,1.00
7.11,4.26,7.80,2.00,3.00,5.89,1.63,1.00,average,sunny,6.63,1.00
9.44,4.74,5.97,1.00,6.00,3.95,1.23,0.00,average,snowy,7.30,1.00
4.93,6.65,12.47,4.00,5.00,5.51,1.53,0.00,poor,snowy,5.82,3.17
4.44,4.13,2.86,1.00,9.00,3.66,1.81,0.00,average,rainy,5.82,2.74
6.92,1.79,52.55,4.00,1.00,6.10,4.25,1.00,average,rainy,10.00,1.61
7.58,8.50,40.45,2.00,5.00,3.88,2.29,2.00,good,sunny,10.00,1.00
6.95,7.76,24.59,1.00,6.00,2.20,1.34,0.00,good,rainy,9.62,1.00
3.90,2.42,2.25,4.00,5.00,2.74,3.09,1.00,good,cloudy,5.57,3.53
6.87,6.38,29.91,4.00,8.00,2.65,2.19,1.00,poor,cloudy,10.00,3.37
5.04,3.99,33.00,4.00,4.00,3.94,3.29,1.00,average,sunny,10.00,3.01
8.00,5.53,29.20,2.00,6.00,3.31,3.91,1.00,average,rainy,10.00,1.00
7.55,5.59,2.42,2.00,5.00,4.96,0.51,0.00,good,sunny,5.33,1.00
5.59,4.53,20.65,2.00,7.00,4.22,0.00,2.00,average,rainy,9.24,1.57
6.23,3.43,35.95,2.00,4.00,6.03,3.99,0.00,poor,snowy,10.00,1.00
5.41,3.62,17.22,2.00,7.00,5.77,1.31,2.00,average,snowy,7.42,2.53
6.91,3.17,20.79,5.00,4.00,4.35,0.30,0.00,good,snowy,9.90,2.82
8.43,3.34,12.26,1.00,5.00,7.48,1.48,4.00,good,snowy,7.79,1.00
5.52,4.87,15.05,1.00,5.00,3.15,1.03,2.00,average,sunny,6.39,1.00
7.76,3.57,0.70,5.00,5.00,7.01,1.23,2.00,good,sunny,5.51,4.13
6.20,6.36,20.38,3.00,6.00,5.31,2.86,0.00,poor,sunny,8.33,2.40
5.81,7.97,1.70,2.00,5.00,4.21,1.64,0.00,average,cloudy,4.06,1.27
6.84,3.84,11.42,4.00,3.00,7.26,0.38,1.00,good,snowy,7.96,2.53
5.45,5.48,6.92,2.00,3.00,6.11,2.03,1.00,average,snowy,5.58,1.00
6.17,6.00,15.77,3.00,5.00,2.85,1.15,0.00,poor,snowy,8.10,1.72
5.20,5.94,2.86,3.00,4.00,5.73,1.75,2.00,good,rainy,3.53,2.18
9.95,5.15,23.53,4.00,5.00,5.73,1.81,1.00,average,rainy,10.00,1.00
7.05,6.49,31.70,4.00,2.00,7.01,2.85,0.00,good,cloudy,10.00,1.95
5.95,5.96,3.57,2.00,8.00,6.17,1.49,0.00,poor,cloudy,4.31,2.79
7.32,2.52,2.20,2.00,4.00,6.31,2.70,1.00,average,rainy,6.76,1.03
6.83,6.74,3.15,1.00,1.00,4.12,0.40,2.00,average,rainy,4.97,1.00
6.67,6.77,41.93,6.00,3.00,4.58,2.90,0.00,good,sunny,10.00,3.91
7.92,3.47,15.02,4.00,6.00,4.50,3.30,0.00,average,sunny,9.16,2.08
8.14,5.08,12.59,3.00,7.00,1.80,1.77,1.00,average,rainy,8.12,1.00
6.20,6.37,2.26,2.00,5.00,7.57,1.18,1.00,poor,snowy,3.58,1.16
6.14,4.58,20.97,2.00,3.00,2.76,0.92,0.00,good,rainy,9.77,1.00
6.59,7.15,40.50,2.00,5.00,5.54,1.97,0.00,average,sunny,10.00,1.58
3.55,9.73,35.23,5.00,4.00,4.34,3.22,0.00,poor,cloudy,6.98,4.36
4.73,3.43,19.67,1.00,4.00,4.52,1.57,2.00,average,rainy,9.18,1.00
9.05,2.24,1.57,3.00,2.00,6.36,3.11,1.00,average,rainy,7.27,1.00
9.47,5.61,2.38,1.00,3.00,3.44,0.85,0.00,poor,snowy,6.32,1.00
6.63,6.44,1.01,1.00,4.00,5.91,1.65,0.00,poor,cloudy,3.43,1.00
7.86,4.54,5.95,7.00,6.00,5.93,1.96,0.00,good,snowy,5.65,6.03
7.47,7.91,2.92,6.00,8.00,3.45,2.22,1.00,poor,cloudy,4.30,5.76
11.62,2.32,6.02,1.00,5.00,6.82,1.67,2.00,poor,snowy,8.96,1.00
8.68,6.39,9.72,5.00,2.00,7.73,3.25,2.00,average,cloudy,6.18,1.96
6.81,3.79,57.29,3.00,3.00,9.05,3.26,1.00,good,rainy,10.00,1.00
5.57,8.44,18.85,2.00,6.00,4.48,1.83,1.00,poor,rainy,6.05,1.23
4.59,8.99,36.03,3.00,6.00,5.38,1.48,0.00,good,rainy,8.81,3.41
7.31,3.47,24.78,3.00,9.00,5.50,1.40,2.00,good,sunny,10.00,3.72
5.87,3.90,2.39,4.00,5.00,6.33,3.03,0.00,average,cloudy,5.12,3.29
4.87,6.72,26.63,6.00,3.00,8.50,1.33,1.00,average,cloudy,7.66,5.35
6.03,4.23,6.43,3.00,6.00,5.97,0.54,3.00,average,snowy,5.53,2.36
5.38,4.91,20.38,3.00,4.00,6.03,0.69,3.00,good,sunny,7.66,2.57
9.53,5.05,8.34,5.00,5.00,2.81,2.67,2.00,good,snowy,8.28,2.43
8.32,1.16,121.26,0.00,4.00,9.10,0.63,1.00,good,sunny,10.00,1.00
6.99,4.97,6.12,5.00,7.00,4.05,1.60,2.00,average,snowy,6.44,4.77
9.22,3.62,6.55,2.00,9.00,0.00,2.10,0.00,average,sunny,8.47,1.00
7.12,4.01,53.38,1.00,6.00,0.45,0.32,0.00,poor,snowy,10.00,1.00
5.71,7.89,0.50,4.00,5.00,5.65,2.18,3.00,average,snowy,3.80,3.72
9.28,2.49,23.86,4.00,2.00,2.45,1.68,2.00,average,sunny,10.00,1.00
7.81,6.63,25.84,5.00,7.00,5.11,0.09,0.00,poor,cloudy,10.00,3.26
5.44,4.44,36.20,2.00,2.00,2.01,2.20,1.00,poor,snowy,10.00,1.00
6.71,4.44,73.33,2.00,5.00,5.61,2.40,0.00,poor,sunny,10.00,1.00
5.69,6.58,74.27,4.00,5.00,6.13,2.18,0.00,average,sunny,10.00,3.12
4.93,5.68,1.35,4.00,4.00,5.35,2.50,0.00,good,cloudy,3.01,2.63
8.39,6.14,34.50,3.00,2.00,3.61,2.26,2.00,average,cloudy,10.00,1.00
9.86,6.94,20.79,1.00,11.00,6.76,2.73,3.00,good,cloudy,9.96,1.00
4.90,4.34,20.85,1.00,5.00,4.20,1.05,1.00,poor,cloudy,9.19,1.26
7.84,3.78,2.75,1.00,8.00,4.62,0.60,2.00,poor,snowy,5.27,1.00
6.02,2.83,21.01,1.00,10.00,3.98,0.84,1.00,average,snowy,10.00,1.46
6.27,3.35,80.89,4.00,10.00,4.46,1.19,0.00,average,rainy,10.00,3.94
6.11,10.90,48.57,3.00,5.00,8.74,4.02,2.00,average,snowy,10.00,2.57
5.70,7.49,11.57,4.00,2.00,4.99,1.20,1.00,good,rainy,4.74,2.09
7.07,2.30,0.82,3.00,7.00,2.46,1.48,0.00,average,rainy,7.29,1.98
5.75,2.36,9.00,3.00,7.00,3.08,1.77,3.00,average,snowy,8.67,3.56
7.41,5.96,35.02,3.00,10.00,4.45,1.64,1.00,poor,rainy,10.00,3.47
6.92,6.09,24.18,0.00,3.00,3.41,3.82,3.00,poor,cloudy,9.00,1.00
6.64,6.10,12.30,6.00,7.00,6.90,0.27,1.00,poor,rainy,6.60,5.34
5.64,4.49,1.13,4.00,6.00,2.17,4.19,2.00,average,snowy,6.17,3.31
6.13,4.75,11.13,1.00,2.00,4.76,2.14,0.00,average,sunny,6.93,1.00
8.13,5.66,12.66,6.00,2.00,7.02,2.96,0.00,poor,snowy,6.71,2.56
7.75,5.17,52.78,1.00,3.00,3.74,2.02,1.00,average,sunny,10.00,1.00
5.53,0.56,20.49,3.00,4.00,5.88,2.82,1.00,average,sunny,9.84,2.32
7.15,4.54,7.47,6.00,2.00,4.92,1.06,1.00,poor,rainy,6.83,3.87
8.13,3.30,14.90,3.00,9.00,4.94,0.65,1.00,average,rainy,9.80,1.84
4.50,5.35,1.37,1.00,7.00,6.02,4.59,1.00,good,sunny,3.27,1.32
7.82,10.97,71.92,4.00,8.00,1.28,3.91,2.00,average,rainy,10.00,2.83
6.01,5.73,8.93,1.00,3.00,7.41,0.95,2.00,average,cloudy,5.29,1.00
7.86,4.37,13.00,4.00,7.00,1.21,2.72,1.00,poor,snowy,8.91,2.78
5.86,6.84,8.78,5.00,3.00,7.27,3.16,0.00,good,rainy,5.27,2.98
4.29,5.97,22.95,1.00,10.00,5.87,2.66,0.00,good,sunny,7.49,1.78
4.56,5.84,21.71,2.00,4.00,5.95,1.79,3.00,average,sunny,7.11,1.88
7.07,6.21,25.13,5.00,7.00,8.23,4.02,0.00,average,snowy,8.08,3.66
7.39,9.11,6.24,9.00,2.00,7.37,2.69,0.00,average,rainy,4.51,5.63
5.64,2.74,7.59,5.00,2.00,6.63,1.07,2.00,average,rainy,6.32,3.02
7.96,5.95,2.68,4.00,5.00,4.41,1.61,3.00,poor,sunny,5.77,2.34
4.51,3.15,21.31,4.00,10.00,4.28,0.93,0.00,average,snowy,8.84,5.39
6.90,6.11,0.81,4.00,6.00,6.68,1.89,2.00,poor,sunny,3.61,3.67
5.18,3.16,18.21,3.00,4.00,5.91,1.86,1.00,average,snowy,8.82,3.11
6.02,4.17,40.76,2.00,1.00,5.60,2.76,0.00,good,rainy,10.00,1.00
7.07,4.41,44.30,2.00,8.00,4.89,2.74,0.00,average,rainy,10.00,1.38
5.71,6.95,11.92,7.00,5.00,4.18,2.39,0.00,poor,snowy,6.22,5.84
6.42,6.84,12.30,4.00,3.00,2.22,2.36,2.00,average,sunny,6.40,2.13
8.51,2.51,1.60,3.00,4.00,6.29,3.04,2.00,good,sunny,7.35,1.93
6.13,5.11,22.22,1.00,3.00,4.64,1.77,2.00,poor,sunny,9.68,1.00
8.25,3.58,34.44,1.00,3.00,4.51,0.00,1.00,average,snowy,10.00,1.00
5.31,2.48,5.61,2.00,4.00,1.37,4.11,0.00,good,snowy,7.25,1.00
7.79,4.57,10.94,2.00,4.00,5.19,1.09,2.00,average,sunny,7.55,1.00
9.16,4.38,36.51,4.00,5.00,2.27,2.70,0.00,average,sunny,10.00,1.39
3.29,9.85,41.93,3.00,3.00,4.13,1.66,1.00,poor,snowy,10.00,3.32
5.80,5.87,5.57,4.00,6.00,6.59,3.40,0.00,good,snowy,5.99,3.79
7.87,2.24,16.00,6.00,4.00,5.13,1.04,0.00,good,sunny,9.19,3.62
6.70,3.87,4.28,2.00,6.00,4.79,1.29,1.00,good,sunny,5.73,1.00
7.56,7.04,2.15,5.00,6.00,3.55,1.50,1.00,good,rainy,4.91,3.44
6.09,9.18,48.41,1.00,5.00,3.90,2.55,5.00,average,cloudy,10.00,1.00
7.13,1.83,34.35,4.00,7.00,8.17,2.22,0.00,good,snowy,10.00,3.94
6.77,1.24,28.55,2.00,5.00,6.56,2.57,0.00,average,cloudy,10.00,1.23
8.75,8.74,1.00,5.00,6.00,4.08,2.13,0.00,good,snowy,4.82,3.11
7.38,5.78,37.12,2.00,4.00,4.79,2.93,2.00,poor,rainy,10.00,1.31
7.51,3.26,11.53,4.00,8.00,5.49,2.95,1.00,good,snowy,7.62,1.98
6.38,6.07,8.38,2.00,11.00,5.88,3.51,0.00,poor,snowy,5.29,2.38
6.27,0.00,15.81,6.00,6.00,4.95,2.34,2.00,poor,cloudy,10.00,5.46
6.35,5.01,1.92,2.00,3.00,1.46,2.34,2.00,average,rainy,7.30,1.00
7.59,5.66,28.26,0.00,4.00,4.94,3.77,2.00,average,rainy,10.00,1.00
6.37,6.85,17.47,2.00,8.00,4.82,3.20,3.00,poor,rainy,7.29,1.34
7.43,2.97,4.13,3.00,6.00,9.11,2.52,1.00,good,rainy,7.28,2.01
10.11,5.17,4.17,2.00,5.00,10.00,0.61,2.00,average,snowy,5.56,1.00
8.31,3.15,4.07,4.00,6.00,6.28,0.32,1.00,good,cloudy,6.92,2.78
6.51,5.51,1.17,2.00,4.00,3.65,2.61,0.00,good,rainy,6.01,1.00
8.80,3.21,17.72,2.00,5.00,6.36,2.65,2.00,average,sunny,9.33,1.00
6.39,4.18,36.70,4.00,14.00,1.60,1.28,0.00,average,rainy,10.00,5.78
3.94,3.01,0.35,1.00,4.00,3.93,2.35,3.00,poor,cloudy,4.69,1.00
5.49,6.30,1.00,1.00,6.00,1.75,1.09,1.00,average,cloudy,3.71,1.00
4.19,6.72,17.01,4.00,2.00,6.10,2.57,1.00,average,cloudy,7.02,3.37
6.47,4.53,34.24,3.00,5.00,2.58,2.60,0.00,average,cloudy,10.00,1.44
7.03,5.08,7.91,8.00,5.00,4.43,2.59,0.00,average,sunny,6.23,6.76
9.51,2.10,8.60,1.00,4.00,4.91,2.34,1.00,poor,rainy,8.77,1.00
7.49,4.40,18.14,4.00,3.00,4.94,1.71,0.00,average,snowy,9.49,1.05
6.67,4.90,6.41,2.00,6.00,4.05,1.79,0.00,poor,snowy,6.36,1.11
8.24,10.24,0.54,2.00,5.00,5.67,3.16,2.00,good,sunny,2.48,1.00
3.68,2.78,26.58,3.00,7.00,2.49,2.41,1.00,poor,rainy,10.00,4.03
7.35,7.93,19.65,4.00,8.00,8.48,2.49,0.00,average,rainy,7.34,3.75
8.16,6.99,17.39,3.00,6.00,2.93,2.09,0.00,poor,snowy,8.33,1.30
4.78,5.56,27.07,4.00,5.00,5.08,2.65,1.00,good,sunny,9.13,3.49
8.72,8.52,22.49,5.00,8.00,6.25,2.96,0.00,average,snowy,8.74,3.84
7.51,5.74,4.61,5.00,9.00,6.37,1.37,2.00,poor,sunny,5.29,4.31
6.38,5.78,8.69,2.00,3.00,6.55,2.59,0.00,average,cloudy,6.61,1.00
7.95,4.89,2.70,5.00,5.00,1.81,1.77,1.00,good,rainy,6.15,2.85
10.41,7.45,2.78,3.00,2.00,3.17,2.31,0.00,good,rainy,5.68,1.00
7.27,7.19,22.55,5.00,6.00,5.27,2.84,1.00,average,rainy,8.07,3.91
7.37,3.75,39.12,3.00,9.00,5.96,0.55,1.00,good,rainy,10.00,2.15
6.31,2.36,65.79,6.00,5.00,7.51,0.92,0.00,poor,rainy,10.00,5.17
5.73,4.59,19.80,1.00,7.00,3.97,1.34,0.00,poor,rainy,8.06,1.41
8.25,3.40,4.07,1.00,7.00,3.19,1.27,0.00,average,cloudy,7.32,1.00
5.72,4.87,2.23,4.00,3.00,3.91,1.84,2.00,average,rainy,5.42,2.72
7.11,7.47,33.52,3.00,5.00,9.52,3.69,1.00,good,cloudy,9.01,1.27
6.28,4.09,17.29,7.00,5.00,8.00,3.18,0.00,good,rainy,7.79,5.69
7.72,4.91,19.26,2.00,4.00,4.66,1.42,1.00,poor,rainy,9.41,1.00
7.50,5.12,30.42,0.00,5.00,7.57,2.87,0.00,average,sunny,10.00,1.00
8.56,6.70,24.30,2.00,4.00,3.86,1.96,0.00,average,rainy,9.67,1.00
6.23,0.51,35.97,3.00,8.00,6.91,2.34,2.00,average,snowy,10.00,3.48
